address,datePublished,domain,extracted_date,food_category,food_types,link,opinions,prices_range,rating,restaurant_name
"Fernando Montes De Oca #22, Condesa, Ciudad de México 06100 México",,www.tripadvisor.com.mx,2022-09-08 17:52:19,"Almuerzo, Cena, Abierto hasta tarde, Bebidas","Reservaciones, Asientos al aire libre, Restaurante privado, Acepta tarjetas de crédito, Música en vivo, Apto para perros",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d23860501-Reviews-Aperol_Restaurante-Mexico_City_Central_Mexico_and_Gulf_Coast.html,13,"Bar, Internacional, Contemporánea, Pub",5.0,Aperol Restaurante
"Calle Versalles 16 Juarez Cuahutemoc Ciudad De Méx, Ciudad de México 06600 México",,www.tripadvisor.com.mx,2022-09-08 17:52:20,"Cena, Almuerzo","Reservaciones, Asiento, Servicio de mesa",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d24159959-Reviews-Ahumadas_y_Fregonas-Mexico_City_Central_Mexico_and_Gulf_Coast.html,13,Mexicana,5.0,Ahumadas y Fregonas
"Agustin Melgar 6, Ciudad de México México",,www.tripadvisor.com.mx,2022-09-08 17:52:20,"Italiana, Mediterránea, Europea",Apto para vegetarianos,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d1094417-Reviews-Casa_D_Italia-Mexico_City_Central_Mexico_and_Gulf_Coast.html,157,$402 - $803,4.0,Casa D'Italia
"Calle Leibnitz # 51-C Col. Anzurez, Ciudad de México 11590 México",,www.tripadvisor.com.mx,2022-09-08 17:52:20,"Mexicana, Latina, Comida rápida","Almuerzo, Cena",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d2401182-Reviews-Taqueria_Selene-Mexico_City_Central_Mexico_and_Gulf_Coast.html,36,$100 - $402,4.5,Taqueria Selene
"Avenida Juarez 64 Cuauhtemoc, Colonia Centro, Ciudad de México 06000 México",,www.tripadvisor.com.mx,2022-09-08 17:52:21,"Almuerzo, Cena, Abierto hasta tarde, Bebidas","Comida para llevar, Asiento, Acceso para silla de ruedas, Sirve alcohol, Wi-Fi gratis, Servicio de mesa, Entrega a domicilio, Reservaciones, Estacionamiento disponible, Bar completo, Acepta American Express, Acepta Mastercard, Acepta Visa, Acepta tarjetas de crédito",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d10168609-Reviews-La_Cerveceria_de_Barrio_Alameda-Mexico_City_Central_Mexico_and_Gulf_Coast.html,152,"Mexicana, Latina, Mariscos, Bar",3.5,La Cervecería de Barrio Alameda
"Peatonal Filomeno Mata 18 Primer Piso, Ciudad de México 06000 México",,www.tripadvisor.com.mx,2022-09-08 17:52:21,Apto para vegetarianos,"Cena, Almuerzo, Bebidas",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d16700387-Reviews-Comedor_Mata_Cantina-Mexico_City_Central_Mexico_and_Gulf_Coast.html,26,"Mexicana, Cervecería, Pub, Gastropub, Comida de calle, Latina, Española",4.5,Comedor Mata Cantina
"Calle Xola 1604 Narvarte Poniente, Ciudad de México 03103 México",,www.tripadvisor.com.mx,2022-09-08 17:52:21,"Almuerzo, Cena","Asiento, Servicio de mesa, Reservaciones",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d12149942-Reviews-Tokyo_Rose-Mexico_City_Central_Mexico_and_Gulf_Coast.html,33,"Japonesa, Sushi",4.5,Tokyo Rose
"Paseo de la Reforma 250 PB Esquina con Niza, Ciudad de México 06600 México",,www.tripadvisor.com.mx,2022-09-08 17:52:21,"Italiana, Pizzería, Mediterránea, Europea","Apto para vegetarianos, Opciones veganas",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d3915535-Reviews-Vapiano_Reforma-Mexico_City_Central_Mexico_and_Gulf_Coast.html,176,$99 - $145,4.0,Vapiano Reforma
"Av. Reforma Esquina con Calle Paris, Ciudad de México México",,www.tripadvisor.com.mx,2022-09-08 17:52:22,"Almuerzo, Cena","Asiento, Sirve alcohol, Servicio de mesa, Comida para llevar, Reservaciones, Asientos al aire libre, Acceso para silla de ruedas, Bar completo",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d3513220-Reviews-El_Diez_Reforma-Mexico_City_Central_Mexico_and_Gulf_Coast.html,112,"Churrasquería, Argentina",4.0,El Diez Reforma
"Calle Sinaloa 252 Roma Norte, entre Veracruz y Tampico, Ciudad de México 06700 México",,www.tripadvisor.com.mx,2022-09-08 17:52:22,"Italiana, Pizzería",Apto para vegetarianos,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d2057579-Reviews-Osteria_8-Mexico_City_Central_Mexico_and_Gulf_Coast.html,93,$25 - $40,4.5,Osteria 8
"Avenida Alvaro Obregon 126, Ciudad de México 06700 México",,www.tripadvisor.com.mx,2022-09-08 17:52:22,Apto para vegetarianos,"Cena, Almuerzo",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d7717292-Reviews-Aurora-Mexico_City_Central_Mexico_and_Gulf_Coast.html,68,Italiana,4.0,Aurora
